,anglePer,blockN,colorPer,correct,highDim,highDimCoh,irrDim,irrDimCoh,lineCoh,lineDir,angleOption,lowDim,lowDimCoh,response,rxtime,subj,isHighCorrect,isLowCorrect,lineOption,Unnamed: 19,rt,stim,subj_idx,cond,cond2
71,0.58,1,0.3,0,1,1,3,1,0.4,1,1,2,2,2,1.4664,1,1,0,1,,1.4664,12,0,112,12
72,0.58,1,0.7,1,1,1,3,1,0.4,1,1,2,2,3,2.1828,1,1,1,1,,2.1828,12,0,112,12
73,0.3,1,0.42,0,1,1,3,2,0.4,1,2,2,1,1,3.7323,1,0,1,1,,3.7323,12,0,121,11
74,0.42,1,0.7,0,1,1,2,2,0.6,2,2,3,1,2,1.9662,1,1,0,2,,1.9662,13,0,121,11
75,0.58,1,0.7,1,1,1,3,1,0.4,1,1,2,2,3,1.0331,1,1,1,1,,1.0331,12,0,112,12
76,0.58,1,0.3,0,1,1,2,2,0.6,2,1,3,1,1,3.6489,1,0,1,2,,3.6489,13,0,121,11
77,0.42,1,0.58,1,1,1,2,1,0.6,2,2,3,1,3,2.8489999999999998,1,1,1,2,,2.8489999999999998,13,0,111,11
78,0.58,1,0.42,1,1,1,3,1,0.4,1,1,2,1,3,1.1666,1,1,1,1,,1.1666,12,0,111,11
79,0.58,1,0.3,1,1,2,2,2,0.7,2,1,3,1,3,1.7162,1,1,1,2,,1.7162,13,0,221,21
80,0.7,1,0.58,1,1,2,3,2,0.3,1,1,2,1,3,0.8499200000000001,1,1,1,1,,0.8499200000000001,12,0,221,21
81,0.3,1,0.3,1,1,2,3,2,0.3,1,2,2,2,3,2.6825,1,1,1,1,,2.6825,12,0,222,22
82,0.42,1,0.7,1,1,2,3,1,0.3,1,2,2,2,3,1.2997,1,1,1,1,,1.2997,12,0,212,22
83,0.7,1,0.3,1,1,2,2,2,0.7,2,1,3,2,3,1.2163,1,1,1,2,,1.2163,13,0,222,22
84,0.7,1,0.3,1,1,2,3,2,0.3,1,1,2,2,3,0.9330299999999999,1,1,1,1,,0.9330299999999999,12,0,222,22
85,0.3,1,0.42,1,1,2,3,2,0.3,1,2,2,1,3,2.1327,1,1,1,1,,2.1327,12,0,221,21
86,0.3,1,0.7,1,1,1,3,2,0.4,1,2,2,2,3,1.7496,1,1,1,1,,1.7496,12,0,122,12
87,0.7,1,0.7,1,1,2,2,2,0.7,2,1,3,2,3,1.1663,1,1,1,2,,1.1663,13,0,222,22
88,0.7,1,0.7,1,1,1,3,2,0.4,1,1,2,2,3,0.8499,1,1,1,1,,0.8499,12,0,122,12
89,0.3,1,0.58,1,1,2,2,1,0.7,2,2,3,2,3,1.0165,1,1,1,2,,1.0165,13,0,212,22
90,0.58,1,0.42,1,1,1,2,1,0.6,2,1,3,1,3,2.2495,1,1,1,2,,2.2495,13,0,111,11
91,0.3,1,0.3,1,1,2,3,2,0.3,1,2,2,2,3,1.0497,1,1,1,1,,1.0497,12,0,222,22
92,0.42,1,0.3,1,1,1,3,1,0.4,1,2,2,2,3,1.0832,1,1,1,1,,1.0832,12,0,112,12
93,0.42,1,0.3,1,1,2,3,1,0.3,1,2,2,2,3,0.9665100000000001,1,1,1,1,,0.9665100000000001,12,0,212,22
94,0.42,1,0.7,1,1,2,2,2,0.7,2,2,3,1,3,1.1831,1,1,1,2,,1.1831,13,0,221,21
95,0.7,1,0.7,1,1,2,3,2,0.3,1,1,2,2,3,0.9330700000000001,1,1,1,1,,0.9330700000000001,12,0,222,22
96,0.58,1,0.58,0,1,2,2,1,0.7,2,1,3,1,2,1.183,1,1,0,2,,1.183,13,0,211,21
97,0.3,1,0.7,1,1,2,2,2,0.7,2,2,3,2,3,1.2998,1,1,1,2,,1.2998,13,0,222,22
98,0.3,1,0.42,1,1,1,2,1,0.6,2,2,3,2,3,1.4163,1,1,1,2,,1.4163,13,0,112,12
99,0.42,1,0.58,1,1,1,3,1,0.4,1,2,2,1,3,1.3164,1,1,1,1,,1.3164,12,0,111,11
100,0.3,1,0.42,1,1,2,3,2,0.3,1,2,2,1,3,1.2663,1,1,1,1,,1.2663,12,0,221,21
101,0.3,1,0.3,1,1,1,3,2,0.4,1,2,2,2,3,0.8667299999999999,1,1,1,1,,0.8667299999999999,12,0,122,12
102,0.58,1,0.7,0,1,2,2,2,0.7,2,1,3,1,2,1.2162,1,1,0,2,,1.2162,13,0,221,21
103,0.42,1,0.3,1,1,2,3,1,0.3,1,2,2,2,3,0.9830899999999999,1,1,1,1,,0.9830899999999999,12,0,212,22
104,0.7,1,0.42,1,1,1,2,1,0.6,2,1,3,2,3,2.8662,1,1,1,2,,2.8662,13,0,112,12
105,0.42,1,0.7,0,1,1,2,2,0.6,2,2,3,1,2,2.4328,1,1,0,2,,2.4328,13,0,121,11
106,0.42,1,0.3,0,1,2,2,2,0.7,2,2,3,1,2,2.1495,1,1,0,2,,2.1495,13,0,221,21
107,0.42,1,0.3,0,1,1,2,2,0.6,2,2,3,1,2,2.4494,1,1,0,2,,2.4494,13,0,121,11
108,0.58,1,0.58,1,1,1,2,1,0.6,2,1,3,1,3,2.7325,1,1,1,2,,2.7325,13,0,111,11
109,0.42,1,0.42,0,1,2,2,1,0.7,2,2,3,1,2,1.9493,1,1,0,2,,1.9493,13,0,211,21
110,0.7,1,0.7,1,1,2,2,2,0.7,2,1,3,2,3,3.1324,1,1,1,2,,3.1324,13,0,222,22
111,0.7,1,0.7,1,1,1,2,2,0.6,2,1,3,2,3,1.6661,1,1,1,2,,1.6661,13,0,122,12
112,0.42,1,0.58,0,1,1,3,1,0.4,1,2,2,1,0,1.3999,1,0,0,1,,1.3999,12,0,111,11
